участник,мама,папа,сестра,брат,родители,тетя,дядя,внучка,внук,бабушка,дедушка,сын,дочь,возраст,возраст_категория,город,город_категория,город_центр,пол,пол_категория,(non)Native
192,1,1,,,2+3,,,,,,,,,20,0,Москва,6,1,woman,1,1
194,1,1,1,3,1,2,2,дактиль,дактиль,1,1,1,2,32,1,Ярославль,1,1,woman,1,1
196,1,1,2,2,1,4,2,дактиль,дактиль,1,2,1,9,23,0,Москва,6,1,woman,1,0
197,1,1,2,2,3+2+1,2,1,1+2,3+2,1,7,1,2,34,1,Рязань,1,1,woman,1,0
200,1,1,3,3,1,11,2,дактиль,дактиль,1,2,2,1,20,0,Одинцово,1,1,woman,1,1
201,1,1,2,2,1,2,2,дактиль,дактиль,1,1,1,4,19,0,Киров,4,0,woman,1,1
203,1,1,2,2,1,2,1,дактиль,дактиль,1,1,2,2,NA,1,Воронеж,1,1,woman,1,0
205,1,1,2,2,1,8,1,5+6+дактиль,6+7+дактиль,1,1,1,4,26,1,Санкт-Петербург,2,0,woman,1,1
206,2,1,2,2,1,2,2,дактиль,дактиль,2,1,1,4,29,1,Тула,1,1,woman,1,0
207,1,1,2,2,1,2,7,дактиль,дактиль,1,7,1,4,20,0,Ростов-на-Дону,3,0,woman,1,1
208,1,1,2,2,1,2,2,1,,1,2,2,5,22,0,Пенза,4,0,woman,1,0
210,2,1,3,2,1,2,3,дактиль,дактиль,2,1,3,1,26,1,Ступино,1,1,woman,1,1
211,1,3,,,1,,,,,,,,,17,0,Москва,6,1,woman,1,1
212,1,1,3,2,2+3,3,2,5+дактиль,дактиль,3,2,1,1,63,1,Москва,6,1,woman,1,1
213,1,1,2,2,1,4,2,дактиль,дактиль,2,7,2,4,26,1,Ставрополь,3,0,woman,1,1
214,1,1,4,1,2+3,2,2,дактиль,дактиль,1,2,2,4,26,1,Санкт-Петербург,2,0,woman,1,1
215,1,1,2,2,1,8,1,дактиль,дактиль,1,5,1,4,34,1,Санкт-Петербург,2,0,woman,1,0
216,1,1,3,2,1,6,3,дактиль,дактиль,1,2,1,1,38,1,Москва,6,1,woman,1,0
217,1,1,3,2,1,2,2,дактиль,дактиль,3,2,1,2,NA,1,Москва,6,1,woman,1,1
218,1,1,2,2,2+3+1,2,2,1,дактиль,2,2,6+1,8+4,42,1,Москва,6,1,woman,1,1
219,1,3,2,2,1,2,2,дактиль,дактиль,2,7,2,4,27,1,Таганрог,3,0,men,0,0
220,1,1,4,1,1,7,1,дактиль,дактиль,1,3,1,4,21,0,Хабаровск,5,0,men,0,1
221,1,1,2,2,1,2,2,дактиль,дактиль,1,1,2,4,28,1,Москва,6,1,men,0,0
222,1,1,2,2,1,2,2,дактиль,дактиль,1,2,3,4,22,0,Томск,5,0,men,0,0
223,1,1,2,2,1+3+2,,,,,,,3,4,50,1,Иркутск,5,0,woman,1,0
225,1,1,2,2,3+2,2,1,дактиль,дактиль,1,1,1,4,28,1,Псков,2,0,woman,1,0
226,1,1,1,1,1,2,10,дактиль,дактиль,1,1,2,6,47,1,Москва,6,1,men,0,1
227,2,2,,,1,,,,,,,,,54,1,Санкт-Петербург,2,0,men,0,0
228,2,1,2,2,2+3,2,2,дактиль,дактиль,2,1,3,5,26,1,NA,NA,NA,woman,1,1
