Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
3 ---> И,подбородок - нейтральная,ребром,вверх,траекторный,вниз,по дуге,нет
3 ---> И,нейтральная,ребром,вверх,траекторный,вниз,по дуге,нет
3 ---> И,нейтральная,ребром,вверх,траекторный,вниз,по кругу,нет
3 ---> И,плечо,ребром,вверх,траекторный,вниз,по дуге,нет
3 ---> И,нейтральная,ребром,вверх,траекторный,вниз,по прямой,нет
3 ---> И,щека,ребром,вверх,траекторный,вниз,по прямой,нет
Э,нейтральная,от себя,вперед,траекторный,вниз,по прямой,нет
В,подбородок,ребром,вверх,локальный,локальный,касается,да
3 ---> И,плечо,ребром,вверх,локальный,локальный,по дуге,нет
