Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
О,нейтральная,к себе,к себе,траекторный,вниз,по кругу,нет
О,нейтральная,к себе,к себе,траекторный,вниз,по прямой,нет
О,нейтральная,к себе,к себе,траекторный,вниз,дуга,нет
Э,нейтральная,от себя,вперед,траекторный,вниз,по прямой,да
Р,нейтральная,к себе,к себе,траекторный,вниз,по прямой,нет
В,голова,ребром,вверх,локальный,локальный,касается,да
