Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
1,подбородок - нейтральная,ребром,вперед,траекторный,вниз,по прямой,да
П,подбородок - нейтральная,ребром,вперед,траекторный,вниз,по прямой,нет
П,подбородок - нейтральная,ребром,вперед,траекторный,вниз,по прямой,да
1,подбородок - нейтральная,ребром,вперед,траекторный,вниз,по прямой,нет
1,подбородок - нейтральная,ребром,вперед,траекторный,вниз,по прямой,нет
П,плечо,к себе,вниз,траекторный,вниз,по кругу,нет
Э,нейтральная,от себя,вперед,траекторный,вниз,по прямой,нет
