Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
В,щека,ребром,вверх,траекторный,в сторону,по прямой,нет
В,щека,ребром,вверх,траекторный,в сторону_1,по прямой,нет
1,щека,ребром,вверх,траекторный,в сторону,по прямой,нет
Э,нейтральная,от себя,вперед,траекторный,вниз,по прямой,нет
1,щека,ребром,вверх,траекторный,в сторону_1,по прямой,нет
