Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
А,щека,ребром,в сторону,локальный,локальный,по кругу,да
А,щека,ребром,в сторону,локальный,локальный,трясется,да
Б,щека,от себя,вверх,локальный,локальный,трясется,да
М,щека,к себе,вверх,локальный,локальный,сжимается-разжимается,да
А,щека,ребром,в сторону,локальный,вниз,по прямой,да
А,щека,ребром,в сторону,локальный,локальный,касается,да
ключ,щека,ребром,в сторону,локальный,локальный,трясется,да
