Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
В,лоб - подбородок,вниз,в сторону,траекторный,вниз,по прямой,нет
П,лоб - подбородок,вниз,в сторону,траекторный,вниз,по прямой,нет
В,подбородок - лоб,вниз,в сторону,траекторный,вверх,по прямой,нет
1,подбородок - лоб,вниз,в сторону,траекторный,вверх,по прямой,нет
Э,нейтральная,от себя,вперед,траекторный,вниз,по прямой,нет
П,подбородок - лоб,вниз,в сторону,траекторный,вверх,по прямой,нет
1,лоб - подбородок,вниз,в сторону,траекторный,вниз,по прямой,нет
