Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
1,голова - нейтральная,ребром,вперед,траекторный,вниз,по прямой,нет
П,голова - нейтральная,ребром,вперед,траекторный,вниз,по прямой,нет
Б,голова - нейтральная,ребром,вперед,траекторный,вниз,по прямой,нет
1,голова - нейтральная,ребром,вперед,траекторный,вниз,по кругу,нет
С,голова - нейтральная,ребром,в сторону,траекторный,вниз,по кругу,нет
П,плечо,к себе,вниз,траекторный,вниз,по кругу,нет
Э,нейтральная,от себя,вперед,траекторный,вниз,по прямой,нет
